Month_of_Death,No,Yes,Percent
1,193017,3349,1.70548873023
2,151131,3068,1.98963676807
3,137843,3289,2.3304424227
4,125997,3256,2.51909046599
5,130492,3456,2.58010571266
6,127583,3407,2.60096190549
7,134052,3461,2.51685295208
8,132943,3467,2.54160252181
9,128543,3239,2.45784705043
10,135455,3244,2.33887771361
11,136711,3115,2.22776879836
12,153064,3118,1.99638882842
