lat,lon,color
30.05705,-81.75165,orange
30.069,-81.771,green
30.07067,-82.38086,blue
30.0771,-81.39806,blue
30.0809,-81.7624,orange
30.08333,-94.86667,orange
30.08341,-85.11039,blue
30.08748,-81.85762,blue
30.10139,-81.88324,red
30.10305,-94.82,green
30.10386,-81.89565,red
30.10534,-81.89438,green
30.10851,-81.89905,blue
30.11584,-81.94118,red
30.11597,-83.89289,blue
30.12615,-93.8117,red
30.13156,-82.96643,red
30.14378,-95.47556,orange
30.1766,-85.8055,red
30.1878,-90.8493,orange
30.19144,-94.32404,green
30.2333,-81.52915,red
30.23333,-95.60834,red
30.23693,-81.54172,orange
30.2386,-84.7025,blue
30.2464,-89.6111,red
30.25389,-81.8992,red
30.2576,-92.6221,orange
30.2637,-81.49433,green
30.26667,-94.85,blue
30.26682,-82.87125,red
30.26861,-94.79333,green
30.2809,-81.83705,orange
30.28881,-85.64108,orange
30.302,-95.10654,green
30.3115,-95.3175,red
30.3125,-82.879,orange
30.31363,-95.17966,orange
30.31667,-95.32,green
30.31709,-82.8436,blue
30.31786,-87.64934,orange
30.32305,-85.4427,orange
30.33333,-96.55,red
30.3343,-95.28653,red
30.33778,-93.97194,red
30.36186,-81.41444,red
30.37369,-83.1736,blue
30.38345,-88.72985,orange
30.38667,-98.08611,red
30.40335,-97.2836,green
30.405,-95.36166,orange
30.40785,-83.96767,red
30.40833,-95.00833,blue
30.41667,-93.94,blue
30.41667,-94.86667,green
30.43412,-82.28943,green
30.43444,-93.89,green
30.43703,-95.12381,red
30.4544,-81.4189,green
30.46,-95.13,red
30.4664,-85.6316,red
30.46805,-85.4937,orange
30.46825,-89.6918,orange
30.475,-95.09167,red
30.47612,-88.34223,red
30.4836,-84.20835,blue
30.49905,-91.01565,red
30.509,-90.6763,blue
30.51295,-86.5065,orange
30.51559,-97.67403,red
30.52361,-95.58334,red
30.525,-96.59167,orange
30.52694,-95.71278,orange
30.52897,-95.72607,blue
30.54079,-84.91096,blue
30.54366,-95.77908,red
30.55,-95.12305,orange
30.55044,-83.48494,blue
30.55738,-96.42506,red
30.566,-100.545,red
30.56775,-86.6913,red
30.587,-84.583,orange
30.5931,-83.41369,blue
30.59612,-83.649,orange
30.6,-95.63,blue
30.6098,-86.4945,blue
30.61667,-95.52722,red
30.62555,-86.54302,green
30.63333,-95.3,blue
30.6645,-84.60745,blue
30.66986,-94.66653,green
30.67,-83.412,blue
30.68441,-86.55637,blue
30.6966,-86.7513,blue
30.71004,-82.0443,blue
30.7113,-87.91833,red
30.71139,-94.58,green
30.71139,-94.70139,green
30.7114,-94.04529,orange
30.71362,-85.20786,red
30.71482,-86.63961,red
30.72028,-93.61667,green
30.73861,-94.89778,orange
30.74715,-91.76733,green
30.75,-86.65,orange
30.75,-95.37666,blue
30.7599,-85.76891,blue
30.76667,-93.68333,orange
30.775,-94.41528,orange
30.77532,-97.93719,red
30.77722,-103.7439,orange
30.79,-85.685,green
30.79456,-84.78122,green
30.8,-93.7,orange
30.812,-95.75645,orange
30.83105,-82.6386,orange
30.83315,-93.972,blue
30.8346,-92.64896,orange
30.84015,-86.9648,blue
30.85052,-89.81163,red
30.8724,-85.217,orange
30.90529,-86.68372,orange
30.95972,-95.58334,blue
30.96745,-91.0955,blue
30.9725,-87.265,orange
30.97675,-89.0338,orange
30.9854,-85.95136,orange
30.98555,-85.6489,red
30.9905,-87.1814,green
30.993,-85.97701,green
31.00002,-86.99782,blue
31.00009,-87.00008,orange
31.0232,-94.47903,orange
31.05591,-94.20776,green
31.0614,-83.07575,red
31.06278,-102.3881,red
31.08012,-83.16414,red
31.08774,-91.84467,orange
31.08925,-81.41267,red
31.11611,-98.055,red
31.13586,-87.06486,orange
31.1375,-92.4976,red
31.14195,-93.2952,red
31.1458,-93.2512,red
31.16,-87.09069,blue
31.1603,-90.71574,blue
31.1659,-94.1679,orange
31.1683,-95.59745,orange
31.17384,-83.26071,red
31.18523,-95.89323,red
31.18562,-83.66153,red
31.20325,-87.5047,orange
31.2137,-82.77173,red
31.22333,-94.96611,orange
31.23374,-85.21574,red
31.2371,-94.45095,red
31.24305,-88.31126,green
31.2439,-82.1341,orange
31.24842,-83.13654,orange
31.25385,-88.26291,blue
31.27278,-102.6922,blue
31.29,-86.255,green
31.30062,-84.02254,red
31.30503,-85.61766,green
31.3058,-92.4054,red
31.30853,-94.76362,orange
31.30952,-82.74675,orange
31.33333,-94.33334,orange
31.34781,-86.54527,orange
31.35,-85.7075,green
31.35289,-83.08486,orange
31.35833,-95.48833,orange
31.368,-92.422,blue
31.37756,-97.59946,blue
31.3799,-92.37835,orange
31.3904,-92.3495,red
31.39275,-91.08505,blue
31.40304,-92.46844,orange
31.40444,-95.70861,orange
31.41787,-92.28034,blue
31.43265,-84.1293,red
31.44815,-100.4219,red
31.4515,-88.08305,blue
31.45417,-100.4161,orange
31.46641,-81.64665,blue
31.4676,-92.2508,red
31.4771,-98.53998,orange
31.4871,-92.3309,blue
31.50773,-95.20691,red
31.53475,-85.7944,blue
31.55668,-95.38226,orange
31.55762,-81.47213,orange
31.56,-93.87194,red
31.58255,-87.96095,blue
31.5831,-93.50845,blue
31.60641,-93.4991,red
31.6212,-95.6669,red
31.62608,-84.16016,red
31.63,-110.177,blue
31.6498,-93.0887,green
31.651,-85.19265,red
31.6825,-92.3104,green
31.6825,-92.3104,orange
31.71434,-84.60457,orange
31.78333,-95.68333,orange
31.809,-87.56807,orange
31.82345,-81.73075,orange
31.82347,-95.37101,green
31.84167,-100.5167,orange
31.85,-85.925,green
31.85605,-83.57655,red
31.86794,-94.95061,orange
31.86801,-85.35995,blue
31.87333,-96.2,blue
31.87791,-94.89986,orange
31.8792,-81.88475,orange
31.90791,-95.01264,green
31.91708,-94.63458,blue
31.93425,-96.12524,red
31.9621,-81.88995,blue
31.98125,-80.89485,blue
31.9853,-81.61756,red
31.99,-87.29,blue
31.99003,-110.1835,red
32.01083,-94.14306,green
32.0131,-91.14448,red
32.01667,-94.68333,orange
32.0199,-92.914,blue
32.0321,-84.43484,orange
32.036,-88.77015,orange
32.036,-88.77015,orange
32.0391,-81.436,orange
32.04361,-94.37444,blue
32.04417,-98.09234,orange
32.0538,-85.0409,red
32.05806,-94.2,green
32.09515,-88.68893,orange
32.1,-94.20695,orange
32.13781,-81.34159,green
32.13972,-95.32,orange
32.15,-97.5,red
32.15,-97.52499,orange
32.16139,-95.6,green
32.17194,-97.54944,red
32.1806,-88.864,red
32.18333,-95.21667,red
32.184,-86.581,green
32.19202,-95.35257,green
32.24083,-101.3903,red
32.24271,-95.12872,red
32.2462,-84.08932,red
32.26889,-96.69583,orange
32.2714,-88.7496,red
32.27444,-94.965,red
32.28944,-94.86833,orange
32.29968,-80.95958,green
32.30673,-87.24547,red
32.30676,-83.16122,red
32.31255,-88.65135,red
32.31435,-85.16235,orange
32.31565,-95.48672,orange
32.33528,-94.7375,blue
32.3372,-88.74805,green
32.34705,-82.2464,blue
32.35306,-94.90528,orange
32.36,-96.66,red
32.375,-96.63,green
32.375,-98.68,orange
32.38575,-82.24886,green
32.39858,-82.30919,orange
32.40191,-90.19371,orange
32.4125,-94.81806,orange
32.4197,-93.4386,orange
32.42445,-109.5601,red
32.43,-85.705,blue
32.4456,-86.5653,orange
32.45763,-93.36627,red
32.475,-97.815,orange
32.48322,-86.37698,orange
32.51556,-95.41817,blue
32.51667,-94.9,blue
32.5175,-96.80417,orange
32.53333,-98.05,red
32.57306,-95.80556,orange
32.5754,-81.78378,blue
32.58125,-94.86958,orange
32.58333,-94.15,blue
32.6218,-85.4258,blue
32.62194,-94.2,blue
32.62389,-94.52,blue
32.64,-97.84,red
32.65,-94.37361,blue
32.65,-110.175,red
32.66908,-98.03284,orange
32.675,-97.025,green
32.675,-97.61,red
32.675,-97.61,red
32.67715,-85.21545,blue
32.68,-94.3,green
32.6825,-85.2222,green
32.68945,-94.59222,orange
32.69028,-95.61056,blue
32.7,-98.03333,orange
32.70631,-109.9134,green
32.7071,-109.9643,orange
32.70722,-109.9648,red
32.71528,-117.1564,blue
32.74985,-82.24796,orange
32.75,-97.75,blue
32.755,-98.0,orange
32.76967,-86.4891,green
32.7817,-93.9467,orange
32.78611,-97.83334,blue
32.79338,-94.69412,orange
32.7943,-95.5425,blue
32.8,-94.16666,orange
32.8057,-92.40895,orange
32.80865,-84.25755,red
32.81075,-116.4208,red
32.815,-109.675,blue
32.817,-98.34489,blue
32.825,-80.559,red
32.8269,-98.3298,red
32.83333,-98.38333,red
32.84,-97.445,blue
32.85,-98.375,red
32.85232,-95.46671,green
32.86288,-83.55708,red
32.895,-93.45,orange
32.9,-94.6,red
32.9032,-80.65645,blue
32.91874,-85.9793,red
32.94722,-96.10222,blue
32.95,-112.73,red
32.96854,-85.02602,orange
32.98597,-81.61264,red
33.00014,-86.00004,orange
33.007,-80.156,red
33.01,-94.44,orange
33.03333,-94.72334,red
33.03662,-116.5645,orange
33.04,-97.18,orange
33.04536,-80.45451,green
33.05685,-94.52925,orange
33.07639,-94.25694,red
33.09184,-83.69681,blue
33.0932,-79.8102,green
33.096,-80.316,blue
33.09625,-94.32139,orange
33.1,-86.86,red
33.1075,-92.33472,orange
33.10925,-89.59135,red
33.12572,-85.49103,orange
33.13,-88.14999,red
33.13195,-88.17885,orange
33.132,-79.884,orange
33.13333,-98.35,orange
33.14663,-92.61493,orange
33.14759,-93.89135,orange
33.15405,-105.7947,red
33.16972,-99.18778,orange
33.17162,-94.14799,orange
33.18528,-94.25556,red
33.18639,-93.9475,blue
33.19944,-96.00306,red
33.2,-96.17,red
33.2,-98.4,red
33.20837,-87.28992,green
33.211,-94.0765,blue
33.21145,-87.35664,red
33.24084,-85.7894,red
33.245,-81.359,red
33.24722,-95.77,red
33.25,-95.84,orange
33.25,-97.05,blue
33.2516,-105.7197,green
33.26035,-87.31821,red
33.26222,-95.82056,orange
33.26462,-92.64066,green
33.26666,-93.886,blue
33.2675,-116.8625,red
33.26855,-91.22115,red
33.26885,-85.12705,red
33.2706,-84.73555,orange
33.27094,-105.7338,blue
33.27303,-97.03784,green
33.275,-98.325,red
33.27735,-105.7395,red
33.2784,-94.12258,orange
33.28333,-94.35722,orange
33.28375,-87.32655,red
33.29083,-97.8375,green
33.31194,-93.8417,blue
33.32237,-116.8782,red
33.32442,-84.2532,red
33.33,-95.54278,green
33.33171,-93.98622,red
33.33614,-97.02299,red
33.34139,-95.24917,red
33.34677,-83.90588,orange
33.35,-85.625,red
33.36305,-86.17122,orange
33.3646,-82.24471,blue
33.3674,-86.64066,blue
33.36867,-95.23958,orange
33.37095,-87.6942,green
33.37111,-84.508,orange
33.375,-98.3,red
33.3785,-112.6432,green
33.37917,-94.11611,orange
33.387,-94.036,red
33.40425,-91.48295,blue
33.4119,-82.13665,red
33.41574,-88.12475,red
33.445,-96.05,red
33.45278,-101.5361,blue
33.46333,-95.8775,blue
33.46345,-85.87055,blue
33.46372,-83.61285,red
33.48,-95.76861,blue
33.48028,-97.04361,red
33.48295,-84.7681,orange
33.48665,-85.8175,red
